code	parent_code	kind	criterion_type	page_start	mandatory_guess	statement
4.17.l	4.17	alinea	avaliativo_objeto	10	True	propor atividades que exijam a mobilização de conhecimentos interdisciplinares;
4.17.m	4.17	alinea	avaliativo_objeto	10	True	disponibilizar estratégias pedagógicas que abordem o ensino da argumentação e da inferência, possibilitando, por exemplo, a identificação de falácias;
4.17.n	4.17	alinea	avaliativo_objeto	10	True	disponibilizar, quando previsto para a coleção, quatro cópias individuais de encartes no final do volume.
4.18	4	item	avaliativo_objeto	10	True	Quanto à adequação e à pertinência das orientações prestadas ao professor , bem como ao formato do material, o Livro Impresso do Professor (LP) e a sua versão digital (Livro Digital do Professor
4.18.a	4.18	alinea	avaliativo_objeto	10	True	incluir tanto o Livro Impresso do Estudante quanto o Livro Digital do Estudante de forma integral em formato U , em volume único, com redução compreendida entre 70% a 85% do formato original, acrescidos de orientações específicas ao professor ao longo do material;
4.18.b	4.18	alinea	avaliativo_objeto	10	True	indicar, com alguma sinalização diferenciada, as habilidades da matriz curricular pr iorizada dos materiais de Língua Por tuguesa, de Matemática e de Ciências da Natureza , disponíveis em: https://www.gov.br/mec/pt-br/recomposicao- aprendizagens/MatrizCurricularPriorizadaparaRecomposi.pdf;
4.18.bullet1	4.18	bullet	avaliativo_objeto	10	True	LDP) devem:
4.18.c	4.18	alinea	avaliativo_objeto	10	False	apresentar sugestões de respostas às questões, oferecendo, quando couber, orientações para que o professor possa guiar e apoiar o processo de aprendizagem dos estudantes de maneira precisa;
4.18.d	4.18	alinea	avaliativo_objeto	10	True	explicar a estrutura da BNCC voltada aos Anos Finais;
4.18.e	4.18	alinea	avaliativo_objeto	11	True	explicar a estrutura da BNCC Computação (Complemento à BNCC) somente na obra de Educação Digital e Midiática;
4.18.f	4.18	alinea	avaliativo_objeto	11	True	explicitar os pressupostos teórico -metodológicos e os objetivos que fundamentam a proposta didático-pedagógica da obra;
4.18.g	4.18	alinea	avaliativo_objeto	11	True	conter, ao longo do material ou ao final dele, as respostas esperadas das atividades;
4.18.h	4.18	alinea	avaliativo_objeto	11	True	descrever a organização geral da coleção tanto no conjunto dos volumes quanto na estruturação interna de cada um desses volumes;
4.18.i	4.18	alinea	avaliativo_objeto	11	True	sugerir possibilidades de trabalho interdisciplinar, oferecendo orientações práticas e teóricas que facilitem a articulação entre os diferentes componentes curriculares;
4.18.j	4.18	alinea	avaliativo_objeto	11	True	sugerir formas de personalização das atividades em observância às diferentes necessidades de aprendizagem dentro de uma mesma sala de aula (pode ser na margem em U);
4.18.k	4.18	alinea	avaliativo_objeto	11	True	discutir diferentes concepções, formas e instrumentos de avaliação, para que o professor tenha subsídios para avaliar o processo de aprendizagem de forma reflexiva e adaptada às necessidades dos estudantes (por exemplo: portifólios, seminários, saraus, debates orais, provas, testes etc.);
4.18.l	4.18	alinea	avaliativo_objeto	11	True	explicitar os conceitos de cada modelo avaliativo (somativo, formativo, diagnóstico) e indicar os objetivos de cada um;
4.18.m	4.18	alinea	avaliativo_objeto	11	False	apresentar sugestões de cronogramas (bimestral, trimestral e/ou semestral) e orientar o professor na construção do próprio cronograma, conforme a realidade escolar;
4.18.n	4.18	alinea	avaliativo_objeto	11	True	apresentar diferentes formas de organização da turma, além do modelo enfileirado, para que o professor possa diversificar o ambiente de aprendizagem e promover interações entre os estudantes (com disponibilização de desenho, de figura ou de imagem exemplificativos);
4.18.o	4.18	alinea	avaliativo_objeto	11	False	propor estratégias de ensino e de aprendizagem que incluam estudantes com deficiência, garantindo que o professor tenha ferramentas para promover a inclusão e a participação de todos os estudantes (este item pode ser contemplado com sugestões de bibliografia ou na margem em U);
4.18.p	4.18	alinea	avaliativo_objeto	11	True	alertar, ao longo da obra , sobre eventuais riscos na realização de atividades e de experimentos, garantindo a integridade física e o bem-estar de estudantes, de professores e de demais envolvidos no processo;
4.18.q	4.18	alinea	avaliativo_objeto	11	True	propiciar a reflexão sobre a prática docente, incentivando que o professor analise sua relação com os estudantes e compreenda tanto o próprio papel social quanto a função da escola;
4.18.r	4.18	alinea	avaliativo_objeto	11	True	oferecer referencial bibliográfico comentado para professores com orientações sobre materiais adicionais que complementem e aprofundem conhecimentos sobre os processos de ensino e de aprendizagem;
4.18.s	4.18	alinea	avaliativo_objeto	11	True	propor estratégias de ensino -aprendizagem que incluam estudantes com deficiência, garantindo que o professor tenha ferramentas para promover a inclusão e a participação de todos os estudantes, podendo sugerir bibliografia para contemplar este item;
4.18.t	4.18	alinea	avaliativo_objeto	11	True	sugerir, na margem em U, atividades de aprofundamento ou de reforço , complementares às atividades propostas aos estudantes;
4.18.u	4.18	alinea	avaliativo_objeto	11	True	sugerir uma proposta de sequência didática ou de matriz de planejamento para que, a partir desse exemplo, o professor tenha a autonomia para elaborar seus próprios planejamentos;
4.18.v	4.18	alinea	avaliativo_objeto	11	True	incentivar, de forma sistemática ao longo d a obra, na margem em U, práticas docentes que promovam o acolhimento e o engajamento d os estudantes , assegurando oportunidades para que verbalizem o próprio raciocínio, registrem-no e construam coletivamente seus processos de aprendizagem;
4.18.w	4.18	alinea	avaliativo_objeto	12	True	sugerir atividades ou projetos que envolvam a família e/ou a comunidade escolar na rotina da sala de aula, garantindo que os estudantes sejam os protagonistas da ação (especialmente ações que envolvam leitura, produção de textos, feiras ou produções artísticas); e
4.18.x	4.18	alinea	avaliativo_objeto	12	True	vincular-se de forma coerente com os materiais voltados para os estudantes, não sendo permitidas contradições entre materiais para docentes e para discentes, especialmente na proposta didático - metodológica.
4.19	4	item	avaliativo_objeto	12	True	Quanto à adequação da estrutura editorial e do projeto gráfico, a proposta didático-pedagógica de uma coleção deve traduzir-se em projeto gráfico-editorial adequado tanto à faixa etária quanto ao desenvolvimento cognitivo esperado para os estudantes dos Anos Finais do Ensino Fundamental. Nesse sentido, a coleção deve apresentar:
4.19.a	4.19	alinea	avaliativo_objeto	12	True	organização precisa, coerente e funcional, que possibilite a estudantes e professores a navegação intuitiva e acessível pelo material, facilitando a compreensão, em termos de espaçamento entre textos, imagens, informações e atividades;
4.19.b	4.19	alinea	avaliativo_objeto	12	True	legibilidade gráfica adequada aos Anos Finais do Ensino Fundamental, considerando o desenho, o tamanho e o espaçamento entre letras, palavras e linhas, bem como o formato, as dimensões e a disposição dos textos na página, visando ao processo de aprendizagem;
4.19.c	4.19	alinea	avaliativo_objeto	12	True	impressão em preto do texto principal para garantir a clareza e a legibilidade;
4.19.d	4.19	alinea	avaliativo_objeto	12	True	títulos e subtítulos hierarquizados de forma precisa, quando for o caso, utilizando recursos gráficos compatíveis com a faixa etária, a fim de ajudar os estudantes a navegarem pelos conteúdos de maneira organizada;
4.19.e	4.19	alinea	avaliativo_objeto	12	True	sumário que reflita a organização dos conteúdos e das atividades, permitindo a rápida localização das informações por meio da indicação precisa das páginas;
4.19.f	4.19	alinea	avaliativo_objeto	12	True	indicação diferenciada dos objetos digitais no sumário e nas páginas onde se localizam, garantindo a rápida localização e a navegação dos materiais digitais, com organização e paginação idênticas ao livro físico;
4.19.g	4.19	alinea	avaliativo_objeto	12	True	seleção textual que dialogue intensamente com as culturas e as vivências de estudantes na fase da adolescência, oportunizando a troca de experiências e a aproximação ao conteúdo de estudo , com linguagem dialógica utilizando questões/atividades antes, durante e após capítulos/unidades;
4.19.h	4.19	alinea	avaliativo_objeto	12	True	legendas sintéticas, com cores definidas e informações essenciais, de modo a assegurar a leitura e a interpretação adequadas de mapas e de gráficos pelos estudantes; e
4.19.i	4.19	alinea	avaliativo_objeto	12	True	junção, quando possível, de habilidades que incidam sobre o mesmo objeto de conhecimento ou que tenham o mesmo objetivo, de modo a qualificar o material e evitar a repetição de conteúdos ou de habilidades já abordadas (indicar na margem em U).
4.20	4	item	avaliativo_objeto	12	True	No que diz respeito às ilustrações, às fotografias e às imagens, as obras devem:
4.20.a	4.20	alinea	avaliativo_objeto	12	True	ser adequadas às finalidades para as quais foram elaboradas, garantindo que as ilustrações estejam em sintonia com os objetivos pedagógicos e sejam apropriadas para a faixa etária, contribuindo diretamente para a construção do conhecimento;
4.20.b	4.20	alinea	avaliativo_objeto	12	True	contribuir para a compreensão de textos e de atividades, sendo distribuídas de forma equilibrada na página, de modo a facilitar a leitura e evitar sobrecarga visual, considerando as capacidades sensoriais e de atenção;
4.20.c	4.20	alinea	avaliativo_objeto	13	True	respeitar as proporções entre objetos ou seres representados, sobretudo em ilustrações de caráter científico, para assegurar a precisão visual e facilitar a compreensão da imagem;
4.20.d	4.20	alinea	avaliativo_objeto	13	True	estar acompanhadas dos respectivos créditos , das fontes ou dos acervos de onde foram reproduzidas, assegurando a transparência e a integridade do uso das imagens, inclusive quando geradas por inteligência artificial;
4.20.e	4.20	alinea	avaliativo_objeto	13	True	apresentar títulos, legendas, fontes e datas (no caso de gráficos, tabelas e imagens artísticas), para que os estudantes possam acessar as informações com precisão;
4.20.f	4.20	alinea	avaliativo_objeto	13	True	explorar diferentes formatos de ilustração adequados ao contexto de ensino-aprendizagem, como desenhos, figuras, gráficos, fotografias, reproduções de pinturas, mapas e tabelas, a fim de enriquecer a experiência visual;
4.20.g	4.20	alinea	avaliativo_objeto	13	True	apresentar, no caso de ilustrações científicas, informações sobre eventuais adaptações na produção da imagem;
4.20.h	4.20	alinea	avaliativo_objeto	13	True	utilizar, quando for o caso, recursos como régua numerada, legenda, escala, coordenadas, para que os estudantes possam entender as proporções e as relações de tamanho dos elementos apresentados; e
4.20.i	4.20	alinea	avaliativo_objeto	13	True	retratar adequadamente a diversidade étnica da população brasileira, assim como a pluralidade social e cultural do país, priorizando fotografias reais.
4.21	4	item	avaliativo_objeto	13	True	No que diz respeito às representações cartográficas de todas as obras , especialmente nas coleções das Ciências Humanas, elas devem:
